VIDEO,MODEL_TYPE,LitterNET,frame_num,object_id,litter_present,litter_detected,conf
001,RF-DETR,True,roi0.png,0,True,True,0.9105784296989441
001,RF-DETR,True,roi1.png,0,False,False,0
001,RF-DETR,True,roi2.png,0,True,True,0.7930881977081299
001,RF-DETR,True,roi3.png,0,False,False,0
001,RF-DETR,True,roi4.png,0,False,True,0.9404543042182922
001,RF-DETR,True,roi5.png,0,False,False,0
001,RF-DETR,True,roi6.png,0,False,False,0
001,RF-DETR,True,roi7.png,0,False,False,0
001,RF-DETR,True,roi8.png,0,False,False,0
001,RF-DETR,True,roi9.png,0,False,False,0
001,RF-DETR,True,roi10.png,0,False,False,0
001,RF-DETR,True,roi11.png,0,False,False,0
001,RF-DETR,True,roi12.png,0,False,False,0
001,RF-DETR,True,roi13.png,0,False,False,0
001,RF-DETR,True,ro14.png,0,False,False,0
001,RF-DETR,True,ro15.png,0,False,False,0
001,RF-DETR,True,roi16.png,0,False,False,0
001,RF-DETR,True,roi17.png,0,False,False,0
001,RF-DETR,True,roi18.png,0,False,False,0
001,RF-DETR,True,roi19.png,0,False,False,0
001,RF-DETR,True,roi20.png,0,False,False,0
001,RF-DETR,True,roi21.png,0,False,True,0.9295958876609802
001,RF-DETR,True,roi22.png,0,False,False,0
001,RF-DETR,True,roi23.png,0,False,False,0
001,RF-DETR,True,roi24.png,0,False,False,0
001,RF-DETR,True,roi25.png,0,False,False,0
001,RF-DETR,True,roi26.png,0,False,False,0
001,RF-DETR,True,roi27.png,0,False,False,0
001,RF-DETR,True,roi28.png,0,False,False,0
002,RF-DETR,True,roi0.png,0,True,True,0.9040003418922424
002,RF-DETR,True,roi1.png,0,False,False,0
002,RF-DETR,True,roi2.png,0,False,False,0
002,RF-DETR,True,roi3.png,0,False,False,0
002,RF-DETR,True,roi4.png,0,False,False,0
003,RF-DETR,True,roi0.png,0,True,True,0.8973823189735413
003,RF-DETR,True,roi1.png,0,True,True,0.938812792301178
003,RF-DETR,True,roi2.png,0,False,False,0
003,RF-DETR,True,roi3.png,0,False,False,0
003,RF-DETR,True,roi4.png,0,False,False,0
004,RF-DETR,True,roi0.png,0,False,True,0.9056886434555054
004,RF-DETR,True,roi1.png,0,False,True,0.8754906058311462
004,RF-DETR,True,roi10.png,0,False,True,0.717582106590271
004,RF-DETR,True,roi11.png,0,False,True,0.7227335572242737
004,RF-DETR,True,roi12.png,0,False,True,0.8279489278793335
004,RF-DETR,True,roi8.png,0,True,True,0.887923002243042
004,RF-DETR,True,roi9.png,0,False,True,0.7553160190582275
004,RF-DETR,True,roi9.png,0,False,True,0.7299855947494507
005,RF-DETR,True,roi0.png,0,False,True,0.9690441489219666
008,RF-DETR,True,roi0.png,0,True,True,0.9342361092567444
008,RF-DETR,True,roi1.png,0,False,True,0.9308762550354004
008,RF-DETR,True,roi2.png,0,False,True,0.907050371170044
008,RF-DETR,True,roi3.png,0,False,True,0.7902676463127136
009,RF-DETR,True,roi0.png,0,True,True,0.9355450868606567
010,RF-DETR,True,roi0.png,0,True,True,0.9059185981750488
