frame,detection_id,gt_count,pred_count,TP,FP,FN,confidence,precision,recall
001crop_mp4-0000_jpg.rf.bfbda81925afe56e8b6bbead09639d46.jpg,,0,0,0,0,0,,,
001crop_mp4-0001_jpg.rf.276d63bf08b5a3a9be0f0d9fbabb9007.jpg,,0,0,0,0,0,,,
001crop_mp4-0002_jpg.rf.b0714c340bc510e4b4bfb0a6c44bd1ca.jpg,,0,0,0,0,0,,,
001crop_mp4-0003_jpg.rf.7e1f9688024dd717c4fb68942407472d.jpg,,0,0,0,0,0,,,
001crop_mp4-0004_jpg.rf.a221c97fd97a2954f3d426fe594cf65d.jpg,,0,0,0,0,0,,,
001crop_mp4-0005_jpg.rf.504b826a3666d628b2c22328058d1304.jpg,,0,0,0,0,0,,,
001crop_mp4-0006_jpg.rf.d2714cdde2d33e98615f747002a71972.jpg,,0,0,0,0,0,,,
001crop_mp4-0007_jpg.rf.d72f4ddf26c79cc8c5d1db97bb2d5b3a.jpg,,0,1,0,1,0,0.5524085760116577,,
001crop_mp4-0008_jpg.rf.12b18e94058a43e0712fa7d1f6a5775e.jpg,,0,0,0,0,0,,,
001crop_mp4-0009_jpg.rf.4377a2965076d97006ef23cbc7ee53d1.jpg,,0,0,0,0,0,,,
001crop_mp4-0010_jpg.rf.8d93502f9168a4bfa4eb9ec411b230cc.jpg,,0,0,0,0,0,,,
001crop_mp4-0011_jpg.rf.564efcda08cddbee7d0c79725c3217cf.jpg,,0,0,0,0,0,,,
001crop_mp4-0012_jpg.rf.d2cdc61f51451b31082c7c710b175e96.jpg,,1,0,0,0,1,,,
001crop_mp4-0013_jpg.rf.0827f34cddf74a24a6af4bc987386d00.jpg,,1,0,0,0,1,,,
001crop_mp4-0015_jpg.rf.c671fc7035905508aaaf5c395ad530e1.jpg,,1,0,0,0,1,,,
001crop_mp4-0016_jpg.rf.b595ac424f8158db2de6a988f25c1d62.jpg,1.0,1,1,1,0,0,0.6476162672042847,1.0,1.0
001crop_mp4-0017_jpg.rf.41f7b5f7c91950890750544bcf6b7c17.jpg,1.0,1,1,1,0,0,0.6160480976104736,1.0,1.0
