epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2355.07,3.09617,3.49424,3.62219,0.1614,0.13942,0.07534,0.01955,2.61408,5.02935,3.15363,0.000664564,0.000664564,0.000664564
2,4543.71,2.36135,2.7929,2.70699,0.23124,0.2476,0.1276,0.04596,2.28044,3.48483,2.80303,0.00131805,0.00131805,0.00131805
3,6724.23,2.10072,2.51164,2.38328,0.47983,0.29327,0.29233,0.13634,1.9728,2.94623,2.36835,0.00195834,0.00195834,0.00195834
4,8958.97,1.95557,2.3302,2.21445,0.48521,0.37981,0.37595,0.19433,1.7969,2.91643,2.12623,0.0019406,0.0019406,0.0019406
5,11254.6,1.84942,2.15806,2.09052,0.58001,0.44153,0.48356,0.2673,1.6499,2.46695,1.99517,0.0019208,0.0019208,0.0019208
6,13452.8,1.78963,2.0844,2.03089,0.52104,0.51923,0.48535,0.28712,1.5496,2.34386,1.94728,0.001901,0.001901,0.001901
7,15658,1.73618,1.97959,1.95952,0.59628,0.44231,0.47393,0.28394,1.52765,2.11069,1.87554,0.0018812,0.0018812,0.0018812
8,17865.2,1.69229,1.90435,1.93137,0.62116,0.54327,0.56128,0.32704,1.51797,2.22272,1.81338,0.0018614,0.0018614,0.0018614
9,20054.1,1.65366,1.86814,1.8984,0.63771,0.52046,0.56357,0.35919,1.31074,1.77212,1.73313,0.0018416,0.0018416,0.0018416
10,22247.6,1.61994,1.79543,1.86516,0.61309,0.57136,0.58634,0.3406,1.51711,2.04816,1.81657,0.0018218,0.0018218,0.0018218
11,24442.4,1.61249,1.76653,1.84537,0.6213,0.55288,0.57577,0.3568,1.42747,1.82261,1.77653,0.001802,0.001802,0.001802
12,26631.8,1.58794,1.72275,1.82601,0.63594,0.58894,0.59988,0.39099,1.33281,1.75568,1.70213,0.0017822,0.0017822,0.0017822
13,28835.7,1.56543,1.71693,1.82264,0.65059,0.5625,0.5949,0.37246,1.4376,1.79682,1.77638,0.0017624,0.0017624,0.0017624
