epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,356.582,1.68541,1.98107,1.9588,0.60646,0.53715,0.55079,0.33251,1.43983,2.00313,1.80115,0.00066614,0.00066614,0.00066614
2,786.67,1.69618,1.97356,1.95613,0.61507,0.52644,0.54577,0.31243,1.46121,1.91854,1.82743,0.00131961,0.00131961,0.00131961
3,1194.34,1.66992,1.93566,1.94417,0.64774,0.52885,0.56876,0.31434,1.61198,1.84506,1.90293,0.00195988,0.00195988,0.00195988
4,1606.98,1.68831,1.93302,1.94563,0.69095,0.52667,0.60473,0.35718,1.48503,1.68458,1.8006,0.0019406,0.0019406,0.0019406
5,2026.43,1.64186,1.88926,1.91553,0.66375,0.50721,0.56956,0.352,1.43382,1.75504,1.78317,0.0019208,0.0019208,0.0019208
6,2443.94,1.63029,1.85455,1.90996,0.63048,0.57011,0.5759,0.34914,1.40704,1.67646,1.76694,0.001901,0.001901,0.001901
7,2853.3,1.60448,1.79652,1.88487,0.59558,0.57452,0.58662,0.36442,1.42689,1.68588,1.7852,0.0018812,0.0018812,0.0018812
8,3263.68,1.6036,1.77878,1.87408,0.61296,0.57692,0.61137,0.36468,1.44126,1.55721,1.77823,0.0018614,0.0018614,0.0018614
9,3671.93,1.58027,1.71929,1.85487,0.66368,0.58348,0.63298,0.39845,1.40202,1.56019,1.70904,0.0018416,0.0018416,0.0018416
10,4073.93,1.57384,1.71924,1.84594,0.67812,0.57692,0.64489,0.40861,1.30331,1.51181,1.66579,0.0018218,0.0018218,0.0018218
11,4479.47,1.54363,1.66797,1.8234,0.72867,0.57692,0.64713,0.4095,1.36537,1.61358,1.69497,0.001802,0.001802,0.001802
12,4887.12,1.53155,1.65994,1.81515,0.69051,0.63287,0.67258,0.44835,1.27313,1.3818,1.63963,0.0017822,0.0017822,0.0017822
13,5293.27,1.50737,1.60818,1.78115,0.68844,0.62019,0.66688,0.42183,1.30785,1.37361,1.63068,0.0017624,0.0017624,0.0017624
14,5699.02,1.50611,1.61059,1.78889,0.60817,0.66587,0.6569,0.44368,1.15364,1.3599,1.55808,0.0017426,0.0017426,0.0017426
