epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,332.192,3.54365,4.15275,4.36033,0.02536,0.04759,0.00518,0.00142,3.26117,22.4108,4.8064,0.00332856,0.00332856,0.00332856
2,656.508,3.23209,3.6388,3.90667,0.03282,0.11448,0.01468,0.00514,2.71412,20.82,3.37525,0.00663991,0.00663991,0.00663991
3,964.912,2.63512,3.05627,3.15333,0.24432,0.16414,0.12614,0.05224,2.36628,4.59959,2.92652,0.00992926,0.00992926,0.00992926
4,1270.96,2.261,2.65463,2.67358,0.38097,0.26069,0.24111,0.12049,2.08076,3.39354,2.54216,0.009901,0.009901,0.009901
5,1545.78,2.03007,2.42033,2.38778,0.45702,0.29779,0.28223,0.1439,1.98178,3.40093,2.36134,0.009868,0.009868,0.009868
6,1832.76,1.92073,2.2586,2.2436,0.52689,0.37103,0.38757,0.21403,1.79565,3.06368,2.15576,0.009835,0.009835,0.009835
7,2112.27,1.82623,2.14249,2.1228,0.53669,0.41142,0.41011,0.2253,1.73987,3.02567,2.06549,0.009802,0.009802,0.009802
8,2394.94,1.76201,2.03163,2.04758,0.54613,0.43724,0.45236,0.24934,1.69595,2.24442,2.00118,0.009769,0.009769,0.009769
9,2554.27,1.70703,1.94719,1.98741,0.59931,0.45448,0.4792,0.27176,1.69404,2.90243,1.98714,0.009736,0.009736,0.009736
10,2720.3,1.67972,1.8993,1.96755,0.60468,0.45517,0.49012,0.28327,1.605,2.71131,1.89058,0.009703,0.009703,0.009703
11,2913.6,1.64879,1.85857,1.94625,0.63721,0.48452,0.52718,0.30631,1.6022,2.16383,1.902,0.00967,0.00967,0.00967
12,3099.42,1.62033,1.80985,1.91015,0.59052,0.47586,0.48288,0.27888,1.56552,2.65462,1.8917,0.009637,0.009637,0.009637
13,3301.88,1.58009,1.77956,1.87152,0.67592,0.46138,0.53042,0.31068,1.54127,2.0657,1.86843,0.009604,0.009604,0.009604
14,3483.04,1.58472,1.74893,1.87394,0.6329,0.50897,0.55139,0.3279,1.51321,1.92395,1.81802,0.009571,0.009571,0.009571
15,3672.92,1.55793,1.70144,1.85088,0.66641,0.49793,0.55213,0.33721,1.50128,1.93252,1.79841,0.009538,0.009538,0.009538
