epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,377.75,1.57269,1.92282,1.72942,0.63134,0.47342,0.50818,0.28128,1.62478,2.14399,1.82153,0.00066614,0.00066614,0.00066614
2,798.742,1.66038,1.89069,1.8095,0.58744,0.47115,0.48131,0.25181,1.60628,1.84835,1.78129,0.00131961,0.00131961,0.00131961
3,1205.05,1.61745,1.86907,1.78095,0.68098,0.508,0.58,0.3573,1.34549,1.60974,1.59697,0.00195988,0.00195988,0.00195988
4,1603.92,1.61485,1.82235,1.78645,0.60498,0.53014,0.55764,0.33217,1.40894,1.61294,1.61563,0.0019406,0.0019406,0.0019406
5,1986.56,1.55608,1.73831,1.74259,0.69424,0.56971,0.64449,0.40354,1.30987,1.5341,1.55665,0.0019208,0.0019208,0.0019208
6,2371.95,1.49908,1.65906,1.70517,0.68101,0.63637,0.66781,0.43314,1.30144,1.29073,1.54365,0.001901,0.001901,0.001901
7,2763.64,1.46976,1.59984,1.69125,0.65178,0.59615,0.63579,0.3822,1.37711,1.40522,1.56681,0.0018812,0.0018812,0.0018812
8,3158.39,1.46772,1.5672,1.68434,0.68435,0.59414,0.6656,0.43565,1.27713,1.29439,1.5127,0.0018614,0.0018614,0.0018614
9,3570.37,1.44074,1.5303,1.66765,0.73518,0.61397,0.70789,0.46653,1.19826,1.20885,1.4446,0.0018416,0.0018416,0.0018416
10,4001.68,1.43492,1.50045,1.65299,0.70886,0.64968,0.70553,0.48693,1.14049,1.22075,1.43356,0.0018218,0.0018218,0.0018218
11,4929.3,1.41393,1.45733,1.64507,0.72761,0.6226,0.70013,0.47275,1.2384,1.27284,1.48864,0.001802,0.001802,0.001802
12,5270.92,1.40281,1.43901,1.64405,0.74022,0.6507,0.72903,0.49632,1.20887,1.15596,1.45923,0.0017822,0.0017822,0.0017822
13,5657.14,1.37998,1.3949,1.62031,0.79538,0.64183,0.72736,0.50963,1.13603,1.12849,1.40687,0.0017624,0.0017624,0.0017624
14,6055.23,1.37883,1.38679,1.62063,0.7638,0.63462,0.73671,0.48629,1.22943,1.21892,1.46062,0.0017426,0.0017426,0.0017426
15,6428.28,1.37175,1.38112,1.6107,0.76886,0.64768,0.74812,0.50596,1.19986,1.11383,1.43039,0.0017228,0.0017228,0.0017228
16,10439.1,1.35616,1.36382,1.596,0.79499,0.67115,0.74949,0.50003,1.2075,1.1127,1.42776,0.001703,0.001703,0.001703
17,10737.7,1.34943,1.32057,1.59917,0.79212,0.687,0.76096,0.52345,1.188,1.08455,1.42334,0.0016832,0.0016832,0.0016832
18,11072.8,1.34325,1.30272,1.59754,0.82861,0.6875,0.76189,0.55717,0.98939,1.02849,1.32447,0.0016634,0.0016634,0.0016634
19,11431.9,1.32849,1.30313,1.58392,0.74991,0.70673,0.75053,0.53108,1.12359,1.09841,1.39641,0.0016436,0.0016436,0.0016436
20,11776.7,1.32676,1.28527,1.58791,0.78421,0.66587,0.75465,0.53535,1.09231,1.10216,1.3675,0.0016238,0.0016238,0.0016238
21,12370.2,1.31402,1.25325,1.57479,0.80956,0.66827,0.76759,0.54554,1.11237,1.04813,1.39843,0.001604,0.001604,0.001604
22,12729.9,1.2916,1.23162,1.56485,0.79976,0.67308,0.75177,0.55599,1.01983,1.04451,1.35144,0.0015842,0.0015842,0.0015842
23,13111.9,1.27489,1.24796,1.5498,0.80098,0.6772,0.7662,0.57761,0.94087,1.00427,1.28945,0.0015644,0.0015644,0.0015644
24,13506.4,1.23833,1.21451,1.52769,0.77016,0.68269,0.73651,0.55662,0.96661,1.05477,1.33249,0.0015446,0.0015446,0.0015446
25,14168,1.23091,1.18688,1.51995,0.78384,0.67121,0.76585,0.58361,0.93911,0.99751,1.3063,0.0015248,0.0015248,0.0015248
26,14539,1.19325,1.16699,1.49509,0.8218,0.65404,0.76226,0.58503,0.90449,0.94353,1.28105,0.001505,0.001505,0.001505
27,14904,1.18709,1.15587,1.49308,0.82402,0.66409,0.75549,0.5915,0.87035,1.03902,1.28887,0.0014852,0.0014852,0.0014852
28,15307.8,1.20163,1.16946,1.49933,0.79874,0.68687,0.77242,0.58617,0.98308,0.95734,1.31036,0.0014654,0.0014654,0.0014654
29,15704.7,1.1792,1.13759,1.48067,0.77063,0.70433,0.7742,0.60809,0.86566,0.93465,1.24068,0.0014456,0.0014456,0.0014456
30,16109.8,1.17158,1.12064,1.47534,0.85474,0.66479,0.77061,0.60774,0.84799,0.92827,1.24376,0.0014258,0.0014258,0.0014258
31,16532.1,1.16031,1.12177,1.46654,0.80608,0.68029,0.78076,0.61918,0.82389,0.91056,1.24284,0.001406,0.001406,0.001406
32,16921.9,1.14022,1.09131,1.45403,0.77154,0.69817,0.77023,0.60626,0.82277,0.90792,1.22326,0.0013862,0.0013862,0.0013862
33,17332.5,1.13567,1.08164,1.44925,0.8584,0.65865,0.78612,0.62043,0.82535,0.93166,1.2359,0.0013664,0.0013664,0.0013664
34,17726.5,1.1193,1.06715,1.44656,0.79043,0.67093,0.76396,0.609,0.81048,0.91105,1.22032,0.0013466,0.0013466,0.0013466
35,18115.3,1.12646,1.04727,1.44729,0.82299,0.68029,0.77455,0.62004,0.82676,0.89862,1.22418,0.0013268,0.0013268,0.0013268
36,18495.3,1.10395,1.03261,1.42018,0.78491,0.71055,0.7767,0.62788,0.79503,0.92457,1.20508,0.001307,0.001307,0.001307
37,18859.9,1.09783,1.02722,1.42653,0.83721,0.69471,0.78297,0.62424,0.78092,0.91973,1.20875,0.0012872,0.0012872,0.0012872
38,19230.7,1.09735,1.01618,1.42118,0.81445,0.72115,0.79427,0.64095,0.77746,0.8779,1.195,0.0012674,0.0012674,0.0012674
39,19606.3,1.08686,1.00931,1.41835,0.83349,0.69792,0.79996,0.65063,0.79962,0.87468,1.2194,0.0012476,0.0012476,0.0012476
40,19975.8,1.07184,1.00027,1.40817,0.85092,0.69978,0.81499,0.65304,0.77548,0.84678,1.19767,0.0012278,0.0012278,0.0012278
41,20347.7,1.08509,1.00163,1.40441,0.83825,0.71875,0.80945,0.66776,0.76258,0.83009,1.17692,0.001208,0.001208,0.001208
42,20731.9,1.07796,0.99532,1.41186,0.87957,0.68468,0.79496,0.63371,0.7879,0.91066,1.21294,0.0011882,0.0011882,0.0011882
43,21133.1,1.0705,1.00045,1.40078,0.84064,0.69471,0.79945,0.64794,0.78358,0.83314,1.21771,0.0011684,0.0011684,0.0011684
44,21518.4,1.05024,0.97559,1.38554,0.83045,0.70192,0.79108,0.64825,0.74699,0.84755,1.18763,0.0011486,0.0011486,0.0011486
45,21911.3,1.04658,0.94645,1.38203,0.85625,0.69471,0.80403,0.65421,0.74501,0.83215,1.17987,0.0011288,0.0011288,0.0011288
